L_FW_X	L_FW_Y	L_HW_X	L_HW_Y	L_Band_X	L_Band_Y	L_N1_X	L_N1_Y	L_N2_X	L_N2_Y	L_N3_X	L_N3_Y	L_N4_X	L_N4_Y	L_BandN1_X	L_BandN1_Y	L_BandN2_X	L_BandN2_Y	L_BandN3_X	L_BandN3_Y	L_BandN4_X	L_BandN4_Y	L_Yb_X	L_Yb_Y	L_Hwden_X	L_Hwden_Y	L_Fwden1_X	L_Fwden1_Y	L_Fwden2_X	L_Fwden2_Y	L_Fwden3_X	L_Fwden3_Y	L_Fwden4_X	L_Fwden4_Y	L_ray1_X	L_ray1_Y	L_ray2_X	L_ray2_Y	L_ray3_X	L_ray3_Y	L_ray4_X	L_ray4_Y	L_ray6_X	L_ray6_Y	L_ray5_X	L_ray5_Y
55.196349	122.54015	63.22275	148.47936	64.98045	90.191216	63.026936	81.299258	67.720792	75.66546	74.230627	60.199335	89.17672	45.991461	63.027674	81.284576	66.69693	75.309111	73.912806	58.88771	89.17672	45.991461	101.58257	164.1843	119.58895	155.81836	120.95289	120.77517	154.46742	124.70155	132.12217	96.26869	160.41831	94.973778	151.84199	196.21412	135.79129	202.37507	121.73584	202.38096	107.25085	196.22858	86.857193	176.02293	97.588878	184.68516
53.33247	120.9326	64.015135	148.04112	64.17707	89.741413	63.681643	80.698081	66.874498	75.48668	73.955914	59.33819	89.583316	45.633818	63.682381	80.683399	66.497791	75.141725	73.999309	58.56625	89.583316	45.633818	99.05719	163.6793	124.97599	156.30443	123.11728	120.66842	153.41706	124.38696	133.20648	96.599919	160.82381	95.388737	152.42568	195.0463	136.50396	201.15998	122.10332	201.6445	107.93642	195.29823	87.482917	175.47539	98.549989	183.89915
53.33247	120.9326	64.816488	147.63044	63.9495	89.731199	63.869656	80.55377	66.785714	75.397896	73.93436	59.11295	89.731304	45.48802	63.870394	80.539088	66.319971	74.857014	74.158832	58.242984	89.731304	45.48802	99.05719	163.6793	124.97599	156.30443	123.70655	120.66876	153.10035	124.28331	134.15999	96.50412	161.18157	95.7465	152.59527	194.74145	136.68537	200.80237	122.52047	200.81848	108.14856	194.99399	87.69297	175.29602	98.82359	183.66765
53.33247	120.9326	66.070025	146.89646	63.72193	89.720985	64.057669	80.409459	66.69693	75.309111	73.912806	58.88771	89.879292	45.342222	64.058407	80.394777	66.142151	74.572302	74.318356	57.919718	89.879292	45.342222	99.05719	163.6793	124.97599	156.30443	124.29582	120.6691	152.78364	124.17966	135.18666	96.400971	161.83696	96.448946	152.76485	194.43659	136.86678	200.44476	122.93762	199.99246	108.3607	194.68975	87.903023	175.11665	99.09719	183.43615
52.031645	119.6103	67.34226	146.19353	63.03083	89.680427	64.385976	80.179002	66.497791	75.141725	73.999309	58.56625	90.17262	45.307721	64.386714	80.16432	65.983897	73.891224	74.686164	57.478414	90.17262	45.307721	97.19706	162.6691	129.31583	156.41648	125.59868	120.83638	152.13405	123.91167	136.21684	96.26108	162.48357	97.145352	153.09093	193.91041	137.34931	199.64506	123.60519	198.74007	108.81159	193.94263	88.34911	174.67103	99.649603	182.94802
52.031645	119.6103	68.631247	145.52149	62.2061	89.572239	64.758728	79.921039	66.319971	74.857014	74.158832	58.242984	90.568332	45.353629	64.759466	79.906357	65.982143	73.612182	74.821429	57.362182	90.568332	45.353629	97.19706	162.6691	129.31583	156.41648	127.06224	121.02452	151.38187	123.61624	137.23288	96.059086	163.17472	97.817275	153.46412	193.31316	137.87667	198.75062	123.80592	198.40325	109.33125	193.10848	88.898448	174.17739	100.26542	182.40985
52.031645	119.6103	69.920235	144.84945	61.38137	89.46405	65.131481	79.663076	66.142151	74.572302	74.318356	57.919718	90.964044	45.399537	65.132219	79.648394	65.980389	73.33314	74.956693	57.24595	90.964044	45.399537	97.19706	162.6691	129.31583	156.41648	128.52579	121.21265	150.6297	123.3208	138.24891	95.857091	163.86587	98.489198	153.8373	192.71591	138.40404	197.85617	124.00665	198.06643	109.8509	192.27434	89.447786	173.68376	100.88123	181.87168
50.04947	117.6496	71.225974	144.20829	60.42299	89.288233	65.731577	79.250438	65.983897	73.891224	74.686164	57.478414	91.740901	45.613775	65.732315	79.235756	66.266367	72.759149	75.3011	57.037431	91.740901	45.613775	95.34921	161.659	133.65691	156.47319	130.76605	121.46352	149.41143	122.89121	139.25081	95.592994	164.60156	99.13664	154.43658	191.75302	139.15663	196.4987	124.43726	197.45623	110.68289	191.027	90.411902	172.95636	101.82405	181.06767
50.04947	117.6496	72.54652	143.59787	59.66087	89.0075	65.914475	79.12327	65.982143	73.612182	74.821429	57.362182	92.019662	45.701695	65.915213	79.108588	66.644169	72.162449	75.724753	56.775484	92.019662	45.701695	95.34921	161.659	133.65691	156.47319	131.38207	121.50539	149.04791	122.78449	140.22091	95.24143	165.43511	99.741159	154.61558	191.45846	139.33702	196.13041	124.91806	196.76183	110.92648	190.70084	90.72343	172.77063	102.08765	180.85185
50.04947	117.6496	73.867065	142.98744	58.89875	88.726768	66.097373	78.996102	65.980389	73.33314	74.956693	57.24595	92.298423	45.789615	66.098111	78.98142	67.021972	71.56575	76.148406	56.513537	92.298423	45.789615	95.34921	161.659	133.65691	156.47319	131.99809	121.54726	148.68439	122.67777	140.89362	94.99764	166.02428	100.16235	154.79458	191.1639	139.51741	195.76212	125.39886	196.06743	111.17007	190.37468	91.034958	172.5849	102.35125	180.63603
